id,jobId,orderItemId,orderNumber,studioName,status,pdfPath,fileName,side,colorMode,error,sortOrder,updatedAt
cmo8bqays0001suw22t39t1ih,ea13f838-d99c-414e-b850-af2274d44812,cmo87op1n004meql72pdxjuly,260421-007,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\4도 풀컬러 단면\단면\260421-007_인천달빛스쿠터_4도 풀컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-007_인천달빛스쿠터_4도 풀컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,4도 풀컬러 단면,,0,2026-04-21 07:50:20.051
cmo8ctwd40006sa3ejhdaxdhx,bd7ccbbf-d781-47c6-9a71-954f0157aabf,cmo87op1n004meql72pdxjuly,260421-007,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\4도 풀컬러 단면\단면\260421-007_인천달빛스쿠터_4도 풀컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-007_인천달빛스쿠터_4도 풀컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,4도 풀컬러 단면,,0,2026-04-21 08:21:07.134
cmo8d0tpn0036sa3e7x10o4l9,1fc7fc8b-19a4-4ca3-8b07-5183026ab480,cmo8cyv6f0025sa3ehnud647s,260421-010,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 양면\양면\260421-010_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,260421-010_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,양면,6도 컬러 양면,,0,2026-04-21 08:26:40.144
cmo8d0tpn0037sa3exj63sgeh,1fc7fc8b-19a4-4ca3-8b07-5183026ab480,cmo8cyuf20016sa3edz7kdfi6,260421-009,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 양면\양면\260421-009_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,260421-009_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,양면,6도 컬러 양면,,1,2026-04-21 08:26:51.327
cmo8d0tpn0038sa3eig6q6acu,1fc7fc8b-19a4-4ca3-8b07-5183026ab480,cmo8cytz3000gsa3eq0swhga8,260421-008,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 양면\양면\260421-008_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,260421-008_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,양면,6도 컬러 양면,,2,2026-04-21 08:26:56.944
cmo8gd8df003z129hkg5o0v8a,46766c62-70f2-4f96-8f3c-358f252e87de,cmo8gccjs001j129hj90dpzbg,260421-012,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-012_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-012_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,1,2026-04-21 10:00:13.168
cmo8duxwv0001b63umex9dgvc,44ecb5b9-5c38-4a9d-807c-8ae9c60587ab,cmo8cyv6f0025sa3ehnud647s,260421-010,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 양면\양면\260421-010_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,260421-010_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,양면,6도 컬러 양면,,0,2026-04-21 08:50:04.327
cmo8hauer0001uoor5r2fv4qn,afe5876f-2739-4fc4-a92c-d3c5c2f4fb9d,cmo8gccjs001j129hj90dpzbg,260421-012,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-012_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-012_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,1,2026-04-21 10:26:22.652
cmo8f1k4a000gb63ubrsotvbb,cca57fa8-7b3b-4db4-b89d-5400d3c7bdb6,cmo8cyv6f0025sa3ehnud647s,260421-010,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 양면\양면\260421-010_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,260421-010_인천달빛스쿠터_6도 컬러 양면_양면_압축제본_웨딩_용지별도_1up.pdf,양면,6도 컬러 양면,,0,2026-04-21 09:23:11.321
cmo8gd8df0040129hxtlpsb53,46766c62-70f2-4f96-8f3c-358f252e87de,cmo8gcbne000d129hl678cxpk,260421-011,인천달빛스쿠터,completed,Z:\출력팀\Wooceo_출력백업\!2025년\접수대기\260421\인디고\6도 컬러 단면\단면\260421-011_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,260421-011_인천달빛스쿠터_6도 컬러 단면_단면_압축제본_웨딩_용지별도_1up.pdf,단면,6도 컬러 단면,,2,2026-04-21 10:00:14.725
